metadata,icdcode,comorbidity
,C30.%,Solid tumour without metastasis
,C31.%,Solid tumour without metastasis
,C32.%,Solid tumour without metastasis
,C37.%,Solid tumour without metastasis
,C38.%,Solid tumour without metastasis
,C39.%,Solid tumour without metastasis
,C40.%,Solid tumour without metastasis
,C41.%,Solid tumour without metastasis
,C43.%,Solid tumour without metastasis
,C45.%,Solid tumour without metastasis
,C46.%,Solid tumour without metastasis
,C47.%,Solid tumour without metastasis
,C48.%,Solid tumour without metastasis
,C49.%,Solid tumour without metastasis
,C50.%,Solid tumour without metastasis
,C51.%,Solid tumour without metastasis
,C52.%,Solid tumour without metastasis
,C53.%,Solid tumour without metastasis
,C54.%,Solid tumour without metastasis
,C55.%,Solid tumour without metastasis
,C56.%,Solid tumour without metastasis
,C57.%,Solid tumour without metastasis
,C58.%,Solid tumour without metastasis
,C60.%,Solid tumour without metastasis
,C61.%,Solid tumour without metastasis
,C62.%,Solid tumour without metastasis
,C63.%,Solid tumour without metastasis
,C64.%,Solid tumour without metastasis
,C65.%,Solid tumour without metastasis
,C66.%,Solid tumour without metastasis
,C67.%,Solid tumour without metastasis
,C68.%,Solid tumour without metastasis
,C69.%,Solid tumour without metastasis
,C70.%,Solid tumour without metastasis
,C71.%,Solid tumour without metastasis
,C72.%,Solid tumour without metastasis
,C73.%,Solid tumour without metastasis
,C74.%,Solid tumour without metastasis
,C75.%,Solid tumour without metastasis
,C76.%,Solid tumour without metastasis
,C97.%,Solid tumour without metastasis
,L94.0,Rheumatoid arthritis/collagen vascular diseases
,L94.1,Rheumatoid arthritis/collagen vascular diseases
,L94.3,Rheumatoid arthritis/collagen vascular diseases
,M05.%,Rheumatoid arthritis/collagen vascular diseases
,M06.%,Rheumatoid arthritis/collagen vascular diseases
,M08.%,Rheumatoid arthritis/collagen vascular diseases
,M12.0,Rheumatoid arthritis/collagen vascular diseases
,M12.3,Rheumatoid arthritis/collagen vascular diseases
,M30.%,Rheumatoid arthritis/collagen vascular diseases
,M31.0,Rheumatoid arthritis/collagen vascular diseases
,M31.1,Rheumatoid arthritis/collagen vascular diseases
,M31.2,Rheumatoid arthritis/collagen vascular diseases
,M31.3,Rheumatoid arthritis/collagen vascular diseases
,M32.%,Rheumatoid arthritis/collagen vascular diseases
,M33.%,Rheumatoid arthritis/collagen vascular diseases
,M34.%,Rheumatoid arthritis/collagen vascular diseases
,M35.%,Rheumatoid arthritis/collagen vascular diseases
,M45.%,Rheumatoid arthritis/collagen vascular diseases
,M46.1,Rheumatoid arthritis/collagen vascular diseases
,M46.8,Rheumatoid arthritis/collagen vascular diseases
,M46.9,Rheumatoid arthritis/collagen vascular diseases
,D65.%,Coagulopathy
,D66.%,Coagulopathy
,D67.%,Coagulopathy
,D68.%,Coagulopathy
,D69.1,Coagulopathy
,D69.3,Coagulopathy
,D69.4,Coagulopathy
,D69.5,Coagulopathy
,D69.6,Coagulopathy
,E66.%,Obesity
,E40.%,Weight loss
,E41.%,Weight loss
,E42.%,Weight loss
,E43.%,Weight loss
,E44.%,Weight loss
,E45.%,Weight loss
,E46.%,Weight loss
,R63.4,Weight loss
,R64.%,Weight loss
,E22.2,Fluid and electrolyte disorders
,E86.%,Fluid and electrolyte disorders
,E87.%,Fluid and electrolyte disorders
,D50.0,Blood loss anaemia
,D50.8,Deficiency anaemia
,D50.9,Deficiency anaemia
,D51.%,Deficiency anaemia
,D52.%,Deficiency anaemia
,D53.%,Deficiency anaemia
,F10.%,Alcohol abuse
,E52.%,Alcohol abuse
,G62.1,Alcohol abuse
,I42.6,Alcohol abuse
,K29.2,Alcohol abuse
,K70.0,Alcohol abuse
,K70.3,Alcohol abuse
,K70.9,Alcohol abuse
,T51.%,Alcohol abuse
,Z50.2,Alcohol abuse
,Z71.4,Alcohol abuse
,Z72.1,Alcohol abuse
,F11.%,Drug abuse
,F12.%,Drug abuse
,F13.%,Drug abuse
,F14.%,Drug abuse
,F15.%,Drug abuse
,F16.%,Drug abuse
,F18.%,Drug abuse
,F19.%,Drug abuse
,Z71.5,Drug abuse
,Z72.2,Drug abuse
,F20.%,Psychoses
,F22.%,Psychoses
,F23.%,Psychoses
,F24.%,Psychoses
,F25.%,Psychoses
,F28.%,Psychoses
,F29.%,Psychoses
,F30.2,Psychoses
,F31.2,Psychoses
,F31.5,Psychoses
,F20.4,Depression
,F31.3,Depression
,F31.4,Depression
,F31.5,Depression
,F32.%,Depression
,F33.%,Depression
,F34.1,Depression
,F41.2,Depression
,F43.2,Depression
